team,value,win_pct,age,championships,geometry
Golden State Warriors,11000000000.0,0.5560975609756098,80,7,POINT (-122.3875 37.768056)
Los Angeles Lakers,10000000000.0,0.551219512195122,78,17,POINT (-118.267222 34.043056)
New York Knicks,9750000000.0,0.5804878048780487,80,2,POINT (-73.993611 40.750556)
LA Clippers,7500000000.0,0.5585365853658537,56,0,POINT (-118.267222 34.043056)
Boston Celtics,6700000000.0,0.7048780487804878,80,18,POINT (-71.062228 42.366303)
Chicago Bulls,6000000000.0,0.47560975609756095,60,6,POINT (-87.674167 41.880556)
Houston Rockets,5900000000.0,0.4560975609756098,59,2,POINT (-95.362222 29.750833)
Miami Heat,5700000000.0,0.5439024390243903,38,3,POINT (-80.188056 25.781389)
Brooklyn Nets,5600000000.0,0.4073170731707317,50,0,POINT (-73.975225 40.682661)
Philadelphia 76ers,5450000000.0,0.5390243902439025,77,3,POINT (-75.171944 39.901111)
Phoenix Suns,5425000000.0,0.5829268292682926,58,0,POINT (-112.071389 33.445833)
Toronto Raptors,5400000000.0,0.4634146341463415,31,1,POINT (-79.379167 43.643333)
Dallas Mavericks,5100000000.0,0.5,46,1,POINT (-96.810278 32.790556)
Atlanta Hawks,5000000000.0,0.5024390243902439,77,1,POINT (-84.396389 33.757222)
Cleveland Cavaliers,4800000000.0,0.6317073170731707,56,1,POINT (-81.688056 41.496389)
Washington Wizards,4700000000.0,0.2926829268292683,65,1,POINT (-77.0209 38.8982)
Denver Nuggets,4600000000.0,0.6390243902439025,50,1,POINT (-105.0084 39.74892)
Sacramento Kings,4450000000.0,0.45365853658536587,78,1,POINT (-121.499611 38.580361)
San Antonio Spurs,4400000000.0,0.424390243902439,50,5,POINT (-98.4375 29.426944)
Oklahoma City Thunder,4350000000.0,0.6170731707317073,59,2,POINT (-97.515 35.463333)
Milwaukee Bucks,4300000000.0,0.5804878048780487,58,2,POINT (-87.918167 43.045028)
Portland Trail Blazers,4250000000.0,0.3878048780487805,56,1,POINT (-122.666667 45.531667)
Indiana Pacers,4200000000.0,0.4292682926829268,50,0,POINT (-86.155556 39.763889)
Utah Jazz,4099999999.9999995,0.3804878048780488,52,0,POINT (-111.901111 40.768333)
Orlando Magic,3900000000.0,0.4609756097560976,37,0,POINT (-81.383611 28.539167)
Charlotte Hornets,3800000000.0,0.375609756097561,26,0,POINT (-80.839167 35.225)
Detroit Pistons,3650000000.0,0.3853658536585366,78,3,POINT (-83.055 42.341111)
Minnesota Timberwolves,3600000000.0,0.5902439024390244,37,0,POINT (-93.2761 44.9795)
New Orleans Pelicans,3550000000.0,0.424390243902439,24,0,POINT (-90.081944 29.948889)
Memphis Grizzlies,3500000000.0,0.5048780487804878,31,0,POINT (-90.050556 35.138333)
