FIPS,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,GOOGLE_DMA
1001,AL ,Autauga                     ,1,1,16610,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1003,AL ,Baldwin                     ,1,3,58950,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
1005,AL ,Barbour                     ,1,5,10570,126,COLUMBUS (GA)                                                        ,Columbus GA
1007,AL ,Bibb                        ,1,7,7820,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1009,AL ,Blount                      ,1,9,20000,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1011,AL ,Bullock                     ,1,11,3930,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1013,AL ,Butler                      ,1,13,8220,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1015,AL ,Calhoun                     ,1,15,43960,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1017,AL ,Chambers                    ,1,17,14170,126,COLUMBUS (GA)                                                        ,Columbus GA
1019,AL ,Cherokee                    ,1,19,10010,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1021,AL ,Chilton                     ,1,21,15880,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1023,AL ,Choctaw                     ,1,23,6150,185,MERIDIAN (MS)                                                        ,Meridian MS
1025,AL ,Clarke                      ,1,25,10460,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
1027,AL ,Clay                        ,1,27,5780,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1029,AL ,Cleburne                    ,1,29,5610,9,ATLANTA (GA)                                                         ,Atlanta GA
1031,AL ,Coffee                      ,1,31,17300,171,DOTHAN (AL)                                                          ,Dothan AL
1033,AL ,Colbert                     ,1,33,22230,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1035,AL ,Conecuh                     ,1,35,5560,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
1037,AL ,Coosa                       ,1,37,4690,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1039,AL ,Covington                   ,1,39,15510,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1041,AL ,Crenshaw                    ,1,41,5520,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1043,AL ,Cullman                     ,1,43,31150,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1045,AL ,Dale                        ,1,45,18550,171,DOTHAN (AL)                                                          ,Dothan AL
1047,AL ,Dallas                      ,1,47,17250,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1049,AL ,Dekalb                      ,1,49,25820,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1051,AL ,Elmore                      ,1,51,23910,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1053,AL ,Escambia                    ,1,53,14430,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
1055,AL ,Etowah                      ,1,55,41270,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1057,AL ,Fayette                     ,1,57,7450,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1059,AL ,Franklin                    ,1,59,12240,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1061,AL ,Geneva                      ,1,61,10550,171,DOTHAN (AL)                                                          ,Dothan AL
1063,AL ,Greene                      ,1,63,3680,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1065,AL ,Hale                        ,1,65,6250,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1067,AL ,Henry                       ,1,67,6510,171,DOTHAN (AL)                                                          ,Dothan AL
1069,AL ,Houston                     ,1,69,36350,171,DOTHAN (AL)                                                          ,Dothan AL
1071,AL ,Jackson                     ,1,71,22130,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1073,AL ,Jefferson                   ,1,73,258560,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
1075,AL ,Lamar                       ,1,75,6360,131,COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)                        ,Columbus-Tupelo-West Point MS
1077,AL ,Lauderdale                  ,1,77,36580,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1079,AL ,Lawrence                    ,1,79,13640,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1081,AL ,Lee                         ,1,81,47310,126,COLUMBUS (GA)                                                        ,Columbus GA
1083,AL ,Limestone                   ,1,83,25370,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1085,AL ,Lowndes                     ,1,85,4830,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1087,AL ,Macon                       ,1,87,8730,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1089,AL ,Madison                     ,1,89,111960,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
1091,AL ,Marengo                     ,1,91,8430,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
1093,AL ,Marion                      ,1,93,12490,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
